PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
Uncharacterized protein	Thermus thermophilus	78	Q5SLJ5	65.71
Acetylornithine deacetylase 	Thermus thermophilus	356	Q5SLJ6	88.0
RNA methyltransferase	Thermus thermophilus	238	Q5SLJ7	80.63
Universal stress protein UspA-like protein	Thermus thermophilus	144	Q5SLJ8	75.87
Probable hydrolase	Thermus thermophilus	249	Q5SLK1	86.08
Probable enoyl-CoA hydratase	Thermus thermophilus	254	Q5SLK3	77.74
Oxoglutarate dehydrogenase 	Thermus thermophilus	896	Q5SLK4	82.86
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 	Thermus thermophilus	406	Q5SLK5	71.02
Serine protease	Thermus thermophilus	689	Q5SLK7	89.2
Argininosuccinate lyase 	Thermus thermophilus	462	Q5SLL0	83.8
Probable acetyltransferase	Thermus thermophilus	177	Q5SLL1	68.39
Uncharacterized protein	Thermus thermophilus	87	Q5SLL2	84.29
Carbamoyl-phosphate synthase small chain 	Thermus thermophilus	391	Q5SLL3	70.38
Putative threonine dehydratase	Thermus thermophilus	311	Q5SLL4	81.8
Phosphoenolpyruvate carboxykinase 	Thermus thermophilus	529	Q5SLL5	87.55
Glucose-6-phosphate isomerase 	Thermus thermophilus	415	Q5SLL6	87.91
Probable acyl-CoA synthetase	Thermus thermophilus	706	Q5SLL7	76.5
RNA 2'-O ribose methyltransferase	Thermus thermophilus	260	Q5SLL8	86.41
60 kDa chaperonin 	Thermus thermophilus	543	Q5SLM2	89.28
Thermostable carboxypeptidase 1 	Thermus thermophilus	510	Q5SLM3	82.31
Cell wall-binding endopeptidase-related protein	Thermus thermophilus	258	Q5SLM7	88.24
DNA replication and repair protein RecF	Thermus thermophilus	343	Q5SLM9	78.26
Phosphate import ATP-binding protein PstB 	Thermus thermophilus	271	Q5SLN1	60.61
Phosphate transport system permease protein PstA	Thermus thermophilus	291	Q5SLN2	79.88
Phosphate ABC transporter	Thermus thermophilus	322	Q5SLN4	83.98
Ferric uptake regulation protein	Thermus thermophilus	147	Q5SLN8	89.02
Ribonuclease TTHA0252 	Thermus thermophilus	431	Q5SLP1	62.87
50S ribosomal protein L11	Thermus thermophilus	147	Q5SLP6	89.84
50S ribosomal protein L1	Thermus thermophilus	229	Q5SLP7	88.35
30S ribosomal protein S6 	Thermus thermophilus	101	Q5SLP8	85.94
Single-stranded DNA-binding protein 	Thermus thermophilus	263	Q5SLP9	87.01
30S ribosomal protein S18	Thermus thermophilus	88	Q5SLQ0	85.55
50S ribosomal protein L9	Thermus thermophilus	148	Q5SLQ1	84.27
Octanoyltransferase 	Thermus thermophilus	217	Q5SLQ3	78.99
Lipoyl synthase 	Thermus thermophilus	323	Q5SLQ4	66.44
Dihydrolipoyl dehydrogenase 	Thermus thermophilus	464	Q5SLR0	85.4
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex 	Thermus thermophilus	451	Q5SLR1	82.54
2-oxoisovalerate dehydrogenase subunit beta 	Thermus thermophilus	324	Q5SLR3	90.33
2-oxoisovalerate dehydrogenase subunit alpha 	Thermus thermophilus	367	Q5SLR4	90.33
Ribosomal RNA large subunit methyltransferase H 	Thermus thermophilus	137	Q5SLR5	76.84
Bifunctional ligase/repressor BirA 	Thermus thermophilus	294	Q5SLR8	82.74
Glucose-1-phosphate thymidylyltransferase	Thermus thermophilus	348	Q5SLR9	88.74
Methyltransf_11 domain-containing protein	Thermus thermophilus	263	Q5SLS0	77.26
Pseudouridine synthase 	Thermus thermophilus	235	Q5SLS4	80.68
tRNA pseudouridine synthase B 	Thermus thermophilus	312	Q5SLS6	83.73
Alanine dehydrogenase 	Thermus thermophilus	369	Q5SLS7	87.45
Probable kinase	Thermus thermophilus	522	Q5SLS9	83.98
NAD(P) transhydrogenase subunit beta	Thermus thermophilus	450	Q5SLT5	84.85
Nicotinamide nucleotide transhydrogenase	Thermus thermophilus	375	Q5SLT7	78.55
Fido domain-containing protein	Thermus thermophilus	364	Q5SLU1	61.7
Mg(2+) chelatase family protein	Thermus thermophilus	494	Q5SLU2	84.57
Carboxylic ester hydrolase 	Thermus thermophilus	515	Q5SLU4	84.9
Ribonuclease HII 	Thermus thermophilus	203	Q5SLU5	73.7
Uncharacterized protein	Thermus thermophilus	279	Q5SLV1	83.1
Dihydropteroate synthase 	Thermus thermophilus	294	Q5SLV2	84.91
NYN domain-containing protein	Thermus thermophilus	181	Q5SLV4	77.02
PPM-type phosphatase domain-containing protein	Thermus thermophilus	311	Q5SLV6	87.76
Pyruvate dehydrogenase E1 component 	Thermus thermophilus	905	Q5SLV8	88.54
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex 	Thermus thermophilus	420	Q5SLV9	69.77
5-formyltetrahydrofolate cyclo-ligase	Thermus thermophilus	187	Q5SLW0	75.62
Antitoxin	Thermus thermophilus	100	Q5SLW2	64.32
DNA polymerase III subunit alpha 	Thermus thermophilus	2067	Q5SLW3	86.85
NTP_transf_3 domain-containing protein	Thermus thermophilus	232	Q5SLW4	85.49
Probable acetyltransferase	Thermus thermophilus	157	Q5SLW7	71.17
Cold shock protein	Thermus thermophilus	73	Q5SLW8	63.55
Chaperone protein DnaJ 1	Thermus thermophilus	350	Q5SLW9	86.32
Aminotransferase	Thermus thermophilus	353	Q5SLX0	74.04
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 	Thermus thermophilus	213	Q5SLX2	84.86
CarD_TRCF domain-containing protein	Thermus thermophilus	164	Q5SLX5	62.47
Transcriptional regulator 	Thermus thermophilus	189	Q5SLX6	84.09
t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE	Thermus thermophilus	170	Q5SLY0	63.97
30S ribosomal protein S1	Thermus thermophilus	536	Q5SLY1	74.04
Leucine--tRNA ligase 	Thermus thermophilus	878	Q5SLY2	80.07
Alpha-dextran endo-1	Thermus thermophilus	994	Q5SLY5	82.8
Probable NADH-dependent flavin oxidoreductase	Thermus thermophilus	349	Q5SLY6	68.4
HTH arsR-type domain-containing protein	Thermus thermophilus	98	Q5SLY7	76.76
NADPH:quinone reductase	Thermus thermophilus	319	Q5SLZ0	78.82
Pseudouridine synthase 	Thermus thermophilus	243	Q5SLZ5	66.41
Alanine--tRNA ligase 	Thermus thermophilus	375	Q5SLZ7	83.0
Sensor histidine kinase	Thermus thermophilus	297	Q5SLZ9	73.27
Phosphate-specific transport system accessory protein PhoU	Thermus thermophilus	220	Q5SM00	82.42
Peptide chain release factor RF2	Thermus thermophilus	378	Q5SM01	78.17
Uncharacterized protein	Thermus thermophilus	147	Q5SM02	70.61
UDP-N-acetylglucosamine 1-carboxyvinyltransferase 	Thermus thermophilus	425	Q5SM03	78.44
Uncharacterized protein	Thermus thermophilus	77	Q5SM04	82.92
Serine/threonine protein kinase	Thermus thermophilus	606	Q5SM05	69.19
LAO/AO transport system kinase	Thermus thermophilus	315	Q5SM07	71.23
MutT/nudix family protein	Thermus thermophilus	154	Q5SM08	84.7
Transcriptional repressor NrdR	Thermus thermophilus	153	Q5SM09	69.3
Macro domain-containing protein	Thermus thermophilus	159	Q5SM11	84.61
dCTP deaminase 	Thermus thermophilus	181	Q5SM13	69.44
tRNA (guanosine(18)-2'-O)-methyltransferase	Thermus thermophilus	194	Q5SM16	70.65
Uncharacterized protein	Thermus thermophilus	79	Q5SM17	84.13
Branched-chain-amino-acid aminotransferase 	Thermus thermophilus	308	Q5SM19	86.45
Transcriptional regulator	Thermus thermophilus	317	Q5SM20	65.75
Competence protein DprA 	Thermus thermophilus	334	Q5SM22	71.23
GTPase Era	Thermus thermophilus	301	Q5SM23	75.71
Putative acetyltransferase	Thermus thermophilus	295	Q5SM24	80.51
Probable 2	Thermus thermophilus	406	Q5SM27	60.78
Proline--tRNA ligase 	Thermus thermophilus	477	Q5SM28	89.76
Endonuclease III 	Thermus thermophilus	220	Q5SM31	68.05
Molybdopterin molybdenumtransferase 	Thermus thermophilus	403	Q5SM33	78.9
ATP-dependent RNA helicase	Thermus thermophilus	517	Q5SM34	66.61
Transketolase 	Thermus thermophilus	651	Q5SM35	67.43
Ribulose-phosphate 3-epimerase 	Thermus thermophilus	220	Q5SM37	88.26
Putative oxidoreductase	Thermus thermophilus	284	Q5SM40	86.93
Transcriptional repressor	Thermus thermophilus	205	Q5SM42	73.66
UDP-N-acetylmuramyl-tripeptide synthetase 	Thermus thermophilus	482	Q5SM43	74.57
Arginine--tRNA ligase 	Thermus thermophilus	592	Q5SM45	87.43
Ribosomal RNA small subunit methyltransferase A 	Thermus thermophilus	271	Q5SM60	73.7
Probable phosphoesterase	Thermus thermophilus	247	Q5SM61	73.23
Uncharacterized protein	Thermus thermophilus	212	Q5SM62	76.03
CRISPR_Cas6 domain-containing protein	Thermus thermophilus	239	Q5SM65	85.82
Inositol-1-monophosphatase 	Thermus thermophilus	264	Q5SM66	82.75
Ribonucleoside-diphosphate reductase 	Thermus thermophilus	2202	Q5SM68	84.11
DNA topoisomerase 1 	Thermus thermophilus	830	Q5SM69	76.99
Uncharacterized protein	Thermus thermophilus	87	Q5SM70	86.8
Uncharacterized protein	Thermus thermophilus	94	Q5SM75	82.88
L-asparaginase II	Thermus thermophilus	326	Q5SM76	88.34
Glycolate oxidase subunit GlcE	Thermus thermophilus	219	Q5SM78	78.77
Probable primosomal protein N' 	Thermus thermophilus	703	Q5SM80	70.16
Alanine racemase 	Thermus thermophilus	360	Q5SM81	86.46
Molybdenum cofactor biosynthesis protein D/E	Thermus thermophilus	223	Q5SM84	80.17
Heat-inducible transcription repressor HrcA	Thermus thermophilus	300	Q5SM85	67.0
ATP-dependent DNA helicase RecG-related protein	Thermus thermophilus	511	Q5SM88	70.93
Putative tRNA 	Thermus thermophilus	149	Q5SM89	87.12
Uncharacterized protein	Thermus thermophilus	284	Q5SM92	82.8
Diacylglycerol kinase-related protein	Thermus thermophilus	305	Q5SM94	88.64
Uncharacterized protein	Thermus thermophilus	119	Q5SM95	86.39
FAD/FMN-containing dehydrogenase	Thermus thermophilus	449	Q5SMA3	79.3
Endopeptidase La 	Thermus thermophilus	697	Q5SMC0	80.35
Glucose-1-phosphate adenylyltransferase 	Thermus thermophilus	414	Q5SMC1	74.06
Response regulator	Thermus thermophilus	223	Q5SMC3	78.36
Glycogen synthase 	Thermus thermophilus	437	Q5SMC5	85.34
tRNA-dihydrouridine	Thermus thermophilus	342	Q5SMC7	74.48
4-hydroxy-3-methylbut-2-enyl diphosphate reductase 	Thermus thermophilus	340	Q5SMC8	78.38
Uncharacterized protein	Thermus thermophilus	198	Q5SMC9	71.2
Geranylgeranyl diphosphate synthetase	Thermus thermophilus	330	Q5SMD0	63.7
Molybdenum cofactor biosynthesis protein A 	Thermus thermophilus	336	Q5SMD2	65.29
Phage shock protein A	Thermus thermophilus	220	Q5SMD5	68.28
1-deoxy-D-xylulose-5-phosphate synthase 	Thermus thermophilus	615	Q5SMD7	77.88
Metallo-beta-lactamase family protein	Thermus thermophilus	204	Q5SMD8	83.99
Beta sliding clamp	Thermus thermophilus	375	Q5SME2	85.15
Sulfur oxidation protein SoxY	Thermus thermophilus	152	Q5SME5	88.26
Sulfur oxidation protein SoxZ	Thermus thermophilus	108	Q5SME6	76.97
SoxAX cytochrome complex subunit A 	Thermus thermophilus	258	Q5SME7	63.81
tRNA-2-methylthio-N	Thermus thermophilus	465	Q5SME9	71.11
Molybdopterin-guanine dinucleotide biosynthesis protein A	Thermus thermophilus	185	Q5SMF2	66.77
CMD domain-containing protein	Thermus thermophilus	117	Q5SMF5	77.38
Aconitate hydratase A 	Thermus thermophilus	902	Q5SMF6	86.27
Membrane-bound protein LytR	Thermus thermophilus	381	Q5SMF7	84.87
Glyceraldehyde-3-phosphate dehydrogenase 	Thermus thermophilus	331	Q5SMF8	87.44
DNA polymerase III	Thermus thermophilus	292	Q5SMG4	66.63
Glycerate dehydrogenase/glyoxylate reductase	Thermus thermophilus	311	Q5SMG6	89.57
ADP-ribosylglycohydrolase	Thermus thermophilus	303	Q5SMG9	78.23
S-adenosylmethionine:tRNA ribosyltransferase-isomerase 	Thermus thermophilus	345	Q5SMH0	63.05
NYN domain-containing protein	Thermus thermophilus	180	Q5SMH1	85.53
Phosphoglucosamine mutase 	Thermus thermophilus	437	Q5SMH2	79.24
Probable GTP-binding protein	Thermus thermophilus	535	Q5SMH5	80.21
THUMP domain-containing protein	Thermus thermophilus	306	Q5SMH6	85.2
Amidophosphoribosyltransferase 	Thermus thermophilus	463	Q5SMH7	84.51
Phosphoribosylformylglycinamidine synthase subunit PurL 	Thermus thermophilus	725	Q5SMH8	86.67
2-haloalkanoic acid dehalogenase-related protein	Thermus thermophilus	237	Q5SMH9	83.65
NADH-quinone oxidoreductase subunit 8 	Thermus thermophilus	365	Q60019	73.6
NADH dehydrogenase 	Thermus thermophilus	205	Q60049	82.64
Elongation factor P 	Thermus thermophilus	184	Q76G20	79.5
Imidazole glycerol phosphate synthase subunit HisF 	Thermus thermophilus	252	Q7SIB9	77.17
Imidazole glycerol phosphate synthase subunit HisH 	Thermus thermophilus	200	Q7SIC0	86.81
Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase 	Thermus thermophilus	335	Q7SIC7	86.13
Ribosomal protein L11 methyltransferase 	Thermus thermophilus	254	Q84BQ9	83.49
DNA-directed RNA polymerase subunit omega 	Thermus thermophilus	99	Q8RQE7	67.1
DNA-directed RNA polymerase subunit beta' 	Thermus thermophilus	1524	Q8RQE8	88.18
DNA-directed RNA polymerase subunit beta 	Thermus thermophilus	1119	Q8RQE9	88.24
SsrA-binding protein 	Thermus thermophilus	144	Q8RR57	82.3
50S ribosomal protein L7/L12	Thermus thermophilus	125	Q8VVE2	78.63
50S ribosomal protein L10	Thermus thermophilus	173	Q8VVE3	90.84
Holliday junction ATP-dependent DNA helicase RuvA 	Thermus thermophilus	191	Q9F1Q3	74.52
Aspartyl/glutamyl-tRNA	Thermus thermophilus	469	Q9LCX2	66.74
Ribosomal RNA small subunit methyltransferase G 	Thermus thermophilus	249	Q9LCY2	76.43
Chaperone protein ClpB	Thermus thermophilus	854	Q9RA63	89.87
Ribosome-recycling factor 	Thermus thermophilus	185	Q9WX76	85.92
Chromosomal replication initiator protein DnaA	Thermus thermophilus	436	Q9X9D5	68.05
50S ribosomal protein L17	Thermus thermophilus	118	Q9Z9H5	89.25
3-isopropylmalate dehydratase small subunit 	Thermus thermophilus	201	Q9ZND4	82.16
3-isopropylmalate dehydratase large subunit 	Thermus thermophilus	472	Q9ZND5	83.72
mRNA-capping enzyme subunit beta 	Saccharomyces cerevisiae	549	O13297	51.34
40S ribosomal protein S9-A 	Saccharomyces cerevisiae	197	O13516	42.44
Covalently-linked cell wall protein 14 	Saccharomyces cerevisiae	238	O13547	46.31
26S proteasome regulatory subunit RPN13 	Saccharomyces cerevisiae	156	O13563	48.06
Multiprotein-bridging factor 1 	Saccharomyces cerevisiae	151	O14467	44.47
Cytochrome c isoform 1 	Saccharomyces cerevisiae	109	P00044	48.67
Alcohol dehydrogenase 1 	Saccharomyces cerevisiae	348	P00330	41.32
Glyceraldehyde-3-phosphate dehydrogenase 3 	Saccharomyces cerevisiae	332	P00359	60.49
Glyceraldehyde-3-phosphate dehydrogenase 1 	Saccharomyces cerevisiae	332	P00360	52.46
Cytochrome c oxidase subunit 6	Saccharomyces cerevisiae	148	P00427	54.42
Superoxide dismutase [Cu-Zn] 	Saccharomyces cerevisiae	154	P00445	62.04
ATP phosphoribosyltransferase 	Saccharomyces cerevisiae	297	P00498	55.21
Pyruvate kinase 1 	Saccharomyces cerevisiae	500	P00549	49.68
Phosphoglycerate kinase 	Saccharomyces cerevisiae	416	P00560	49.72
Carboxypeptidase Y 	Saccharomyces cerevisiae	532	P00729	60.96
Arginase 	Saccharomyces cerevisiae	333	P00812	52.69
Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase 	Saccharomyces cerevisiae	799	P00815	48.68
Inorganic pyrophosphatase 	Saccharomyces cerevisiae	287	P00817	56.62
ATP synthase subunit beta	Saccharomyces cerevisiae	511	P00830	53.23
Citrate synthase	Saccharomyces cerevisiae	479	P00890	49.83
Anthranilate synthase component 1 	Saccharomyces cerevisiae	507	P00899	48.21
Enolase 1 	Saccharomyces cerevisiae	437	P00924	53.93
Enolase 2 	Saccharomyces cerevisiae	437	P00925	48.97
Threonine dehydratase	Saccharomyces cerevisiae	576	P00927	40.22
Tryptophan synthase 	Saccharomyces cerevisiae	707	P00931	65.93
Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 	Saccharomyces cerevisiae	484	P00937	41.6
Triosephosphate isomerase 	Saccharomyces cerevisiae	248	P00942	61.79
Phosphoglycerate mutase 1 	Saccharomyces cerevisiae	247	P00950	51.07
Methionine--tRNA ligase	Saccharomyces cerevisiae	751	P00958	45.84
Ras-like protein 2 	Saccharomyces cerevisiae	322	P01120	46.82
GTP-binding protein YPT1 	Saccharomyces cerevisiae	206	P01123	43.28
Histone H2B.2	Saccharomyces cerevisiae	131	P02294	66.3
Histone H4	Saccharomyces cerevisiae	103	P02309	58.08
60S acidic ribosomal protein P2-beta 	Saccharomyces cerevisiae	110	P02400	50.64
60S ribosomal protein L28 	Saccharomyces cerevisiae	149	P02406	53.24
40S ribosomal protein S17-A 	Saccharomyces cerevisiae	136	P02407	49.21
ATP-dependent molecular chaperone HSP82 	Saccharomyces cerevisiae	709	P02829	47.77
Elongation factor Tu	Saccharomyces cerevisiae	437	P02992	53.28
Elongation factor 1-alpha 	Saccharomyces cerevisiae	458	P02994	40.11
Carbamoyl-phosphate synthase arginine-specific large chain 	Saccharomyces cerevisiae	1118	P03965	47.86
DNA-directed RNA polymerase II subunit RPB1 	Saccharomyces cerevisiae	1733	P04050	51.95
Argininosuccinate lyase 	Saccharomyces cerevisiae	463	P04076	49.71
Polyadenylate-binding protein	Saccharomyces cerevisiae	577	P04147	42.58
Phosphoribosylglycinamide formyltransferase 	Saccharomyces cerevisiae	214	P04161	56.26
60S ribosomal protein L24-A 	Saccharomyces cerevisiae	155	P04449	53.74
60S ribosomal protein L25 	Saccharomyces cerevisiae	142	P04456	51.74
60S ribosomal protein L39 	Saccharomyces cerevisiae	51	P04650	52.22
Threonine--tRNA ligase	Saccharomyces cerevisiae	734	P04801	49.23
Aspartate--tRNA ligase	Saccharomyces cerevisiae	557	P04802	46.2
Hexokinase-2 	Saccharomyces cerevisiae	486	P04807	43.04
Mitochondrial outer membrane protein porin 1 	Saccharomyces cerevisiae	283	P04840	68.02
Histone H2A.1	Saccharomyces cerevisiae	132	P04911	68.3
Plasma membrane ATPase 1 	Saccharomyces cerevisiae	918	P05030	45.69
Ornithine carbamoyltransferase 	Saccharomyces cerevisiae	338	P05150	65.0
60S acidic ribosomal protein P1-alpha 	Saccharomyces cerevisiae	106	P05318	46.94
60S acidic ribosomal protein P2-alpha 	Saccharomyces cerevisiae	106	P05319	48.16
Delta-aminolevulinic acid dehydratase 	Saccharomyces cerevisiae	342	P05373	53.25
Eukaryotic peptide chain release factor GTP-binding subunit 	Saccharomyces cerevisiae	685	P05453	58.15
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 	Saccharomyces cerevisiae	767	P05694	67.71
60S ribosomal protein L7-A 	Saccharomyces cerevisiae	244	P05737	55.8
60S ribosomal protein L9-A 	Saccharomyces cerevisiae	191	P05738	55.89
60S ribosomal protein L6-B 	Saccharomyces cerevisiae	176	P05739	54.27
60S ribosomal protein L17-A 	Saccharomyces cerevisiae	184	P05740	56.15
60S ribosomal protein L26-A 	Saccharomyces cerevisiae	127	P05743	56.8
60S ribosomal protein L36-A 	Saccharomyces cerevisiae	100	P05745	51.57
60S ribosomal protein L15-A 	Saccharomyces cerevisiae	204	P05748	49.42
60S ribosomal protein L22-A 	Saccharomyces cerevisiae	121	P05749	54.87
40S ribosomal protein S3 	Saccharomyces cerevisiae	240	P05750	49.96
Ubiquitin-40S ribosomal protein S31 [Cleaved into: Ubiquitin; 40S ribosomal protein S31 	Saccharomyces cerevisiae	152	P05759	49.22
Hsp90 co-chaperone Cdc37 	Saccharomyces cerevisiae	506	P06101	44.38
Protein SCP160 	Saccharomyces cerevisiae	1222	P06105	40.83
Catalase T 	Saccharomyces cerevisiae	562	P06115	51.62
Ketol-acid reductoisomerase	Saccharomyces cerevisiae	395	P06168	47.1
Pyruvate decarboxylase isozyme 1 	Saccharomyces cerevisiae	563	P06169	51.48
ATP-dependent RNA helicase DED1 	Saccharomyces cerevisiae	604	P06634	42.95
Glycogen phosphorylase 	Saccharomyces cerevisiae	902	P06738	49.85
3',5'-cyclic-nucleotide phosphodiesterase 2	Saccharomyces cerevisiae	526	P06776	56.21
GTP-binding protein RHO1 	Saccharomyces cerevisiae	209	P06780	43.6
Thymidylate synthase 	Saccharomyces cerevisiae	304	P06785	55.71
DNA topoisomerase 2 	Saccharomyces cerevisiae	1428	P06786	46.26
Calmodulin 	Saccharomyces cerevisiae	147	P06787	40.28
Fatty acid synthase subunit beta 	Saccharomyces cerevisiae	2051	P07149	46.13
Adenylate kinase 	Saccharomyces cerevisiae	222	P07170	41.89
Mitochondrial import receptor subunit TOM70 	Saccharomyces cerevisiae	617	P07213	55.47
Bifunctional purine biosynthetic protein ADE5	Saccharomyces cerevisiae	802	P07244	52.31
C-1-tetrahydrofolate synthase	Saccharomyces cerevisiae	946	P07245	46.08
Alcohol dehydrogenase 3	Saccharomyces cerevisiae	375	P07246	61.63
ATP synthase subunit alpha	Saccharomyces cerevisiae	545	P07251	43.8
Cytochrome b-c1 complex subunit 1	Saccharomyces cerevisiae	457	P07256	57.94
Protein URA2 [Includes: Glutamine-dependent carbamoyl-phosphate synthase 	Saccharomyces cerevisiae	2214	P07259	48.19
NADP-specific glutamate dehydrogenase 1 	Saccharomyces cerevisiae	454	P07262	66.03
Histidine--tRNA ligase	Saccharomyces cerevisiae	546	P07263-2	44.88
Saccharopepsin 	Saccharomyces cerevisiae	405	P07267	46.75
Profilin	Saccharomyces cerevisiae	126	P07274	52.09
Delta-1-pyrroline-5-carboxylate dehydrogenase	Saccharomyces cerevisiae	575	P07275	53.87
Mevalonate kinase 	Saccharomyces cerevisiae	443	P07277	59.55
40S ribosomal protein S19-B 	Saccharomyces cerevisiae	144	P07281	51.19
Phosphomannomutase 	Saccharomyces cerevisiae	254	P07283	63.8
Serine--tRNA ligase	Saccharomyces cerevisiae	462	P07284	44.28
Ras-related protein SEC4 	Saccharomyces cerevisiae	215	P07560	49.56
L-2-aminoadipate reductase 	Saccharomyces cerevisiae	1392	P07702	52.09
DNA-directed RNA polymerases I and III subunit RPAC1 	Saccharomyces cerevisiae	335	P07703	53.1
Valine--tRNA ligase	Saccharomyces cerevisiae	1104	P07806-2	46.11
Ornithine aminotransferase 	Saccharomyces cerevisiae	424	P07991	42.41
DNA-directed RNA polymerase II subunit RPB2 	Saccharomyces cerevisiae	1224	P08518	51.82
Farnesyl pyrophosphate synthase 	Saccharomyces cerevisiae	352	P08524	46.23
Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase 	Saccharomyces cerevisiae	1588	P08566	55.15
Translation initiation factor eIF-2B subunit gamma 	Saccharomyces cerevisiae	578	P09032	49.47
Eukaryotic translation initiation factor 2 subunit beta 	Saccharomyces cerevisiae	285	P09064	53.95
Cerevisin 	Saccharomyces cerevisiae	635	P09232	55.46
Isoleucine--tRNA ligase	Saccharomyces cerevisiae	1072	P09436	49.31
C-1-tetrahydrofolate synthase	Saccharomyces cerevisiae	975	P09440	47.09
ATP synthase subunit 5	Saccharomyces cerevisiae	212	P09457	50.71
Ribonucleoside-diphosphate reductase small chain 1 	Saccharomyces cerevisiae	399	P09938	56.31
5-aminolevulinate synthase	Saccharomyces cerevisiae	548	P09950	43.15
40S ribosomal protein S25-B 	Saccharomyces cerevisiae	108	P0C0T4	42.98
40S ribosomal protein S21-A 	Saccharomyces cerevisiae	87	P0C0V8	49.13
40S ribosomal protein S22-A 	Saccharomyces cerevisiae	130	P0C0W1	51.28
60S ribosomal protein L11-A 	Saccharomyces cerevisiae	174	P0C0W9	56.5
60S ribosomal protein L27-A 	Saccharomyces cerevisiae	136	P0C2H6	55.98
Transposon Ty1-H Gag polyprotein 	Saccharomyces cerevisiae	478	P0C2I4	50.03
60S ribosomal protein L20-A 	Saccharomyces cerevisiae	172	P0CX23	45.01
60S ribosomal protein L43-A 	Saccharomyces cerevisiae	92	P0CX25	55.2
60S ribosomal protein L42-A 	Saccharomyces cerevisiae	106	P0CX27	55.89
40S ribosomal protein S23-A 	Saccharomyces cerevisiae	145	P0CX29	55.63
40S ribosomal protein S24-A 	Saccharomyces cerevisiae	135	P0CX31	52.85
40S ribosomal protein S30-A 	Saccharomyces cerevisiae	63	P0CX33	49.47
40S ribosomal protein S4-A 	Saccharomyces cerevisiae	261	P0CX35	50.22
40S ribosomal protein S6-A 	Saccharomyces cerevisiae	236	P0CX37	51.89
40S ribosomal protein S8-A 	Saccharomyces cerevisiae	200	P0CX39	49.71
60S ribosomal protein L23-A 	Saccharomyces cerevisiae	137	P0CX41	54.55
60S ribosomal protein L1-A 	Saccharomyces cerevisiae	217	P0CX43	54.1
60S ribosomal protein L2-A 	Saccharomyces cerevisiae	254	P0CX45	54.13
40S ribosomal protein S11-A 	Saccharomyces cerevisiae	156	P0CX47	53.91
60S ribosomal protein L18-A 	Saccharomyces cerevisiae	186	P0CX49	56.84
40S ribosomal protein S16-A 	Saccharomyces cerevisiae	143	P0CX51	53.0
60S ribosomal protein L12-A 	Saccharomyces cerevisiae	165	P0CX53	51.41
40S ribosomal protein S18-A 	Saccharomyces cerevisiae	146	P0CX55	51.29
Transposon Ty1-JR1 Gag polyprotein 	Saccharomyces cerevisiae	440	P0CX74	51.45
60S ribosomal protein L19-A 	Saccharomyces cerevisiae	189	P0CX82	54.92
60S ribosomal protein L35-A 	Saccharomyces cerevisiae	120	P0CX84	54.45
ATP-dependent RNA helicase eIF4A 	Saccharomyces cerevisiae	395	P10081	50.29
Alcohol dehydrogenase 4 	Saccharomyces cerevisiae	382	P10127	50.38
Uncharacterized protein YER152C	Saccharomyces cerevisiae	443	P10356	51.04
Heat shock protein SSA1 	Saccharomyces cerevisiae	642	P10591	46.08
Heat shock protein SSA2	Saccharomyces cerevisiae	639	P10592	43.29
60S acidic ribosomal protein P1-beta 	Saccharomyces cerevisiae	106	P10622	68.11
37S ribosomal protein MRP1	Saccharomyces cerevisiae	321	P10662	47.4
60S ribosomal protein L4-A 	Saccharomyces cerevisiae	362	P10664	55.88
Protein transport protein SEC7	Saccharomyces cerevisiae	2009	P11075	45.46
ADP-ribosylation factor 1	Saccharomyces cerevisiae	181	P11076	47.92
Pyruvate carboxylase 1 	Saccharomyces cerevisiae	1178	P11154	48.8
Oxygen-dependent coproporphyrinogen-III oxidase 	Saccharomyces cerevisiae	328	P11353	53.44
Glucose-6-phosphate 1-dehydrogenase 	Saccharomyces cerevisiae	505	P11412	47.25
Ribosome-associated molecular chaperone SSB1 	Saccharomyces cerevisiae	613	P11484	42.94
Repressible alkaline phosphatase 	Saccharomyces cerevisiae	566	P11491	68.64
Ran GTPase-activating protein 1 	Saccharomyces cerevisiae	407	P11745	43.75
DNA-binding protein RAP1 	Saccharomyces cerevisiae	827	P11938	49.9
Inositol-3-phosphate synthase 	Saccharomyces cerevisiae	533	P11986	51.09
Heat shock protein SSC1	Saccharomyces cerevisiae	654	P12398	43.86
T-complex protein 1 subunit alpha 	Saccharomyces cerevisiae	559	P12612	58.87
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	Saccharomyces cerevisiae	482	P12695	53.94
